"title","location","date_posted","url","District","Posting_Source","Archive_Date"
"Bus Drivers—Route and/or Activity Drivers","Rapelje School District #32",NA,"https://rapelje.k12.mt.us/job-listings","Rapelje School District #32","LLM-extracted district prose page (SHADOW -- not in dashboard)","2026-09-07"
"Preschool Teacher","Rapelje School District #32",NA,"https://rapelje.k12.mt.us/job-listings","Rapelje School District #32","LLM-extracted district prose page (SHADOW -- not in dashboard)","2026-09-07"
"Cooks Helper","Rapelje School District #32",NA,"https://rapelje.k12.mt.us/job-listings","Rapelje School District #32","LLM-extracted district prose page (SHADOW -- not in dashboard)","2026-09-07"
"Classroom Aide/Assistant Custodian","Grass Range School",NA,"https://grps.k12.mt.us/staff/open-positions","Grass Range Public Schools","LLM-extracted district prose page (SHADOW -- not in dashboard)","2026-09-07"
"CDL Bus/Activity Driver","Grass Range School",NA,"https://grps.k12.mt.us/staff/open-positions","Grass Range Public Schools","LLM-extracted district prose page (SHADOW -- not in dashboard)","2026-09-07"
"substitutes in all areas","Grass Range School",NA,"https://grps.k12.mt.us/staff/open-positions","Grass Range Public Schools","LLM-extracted district prose page (SHADOW -- not in dashboard)","2026-09-07"
"Special Education Paraprofessional","Cayuse Prairie School",NA,"https://www.cayuseprairie.com/page/employment","Cayuse Prairie School District #10","LLM-extracted district prose page (SHADOW -- not in dashboard)","2026-09-07"
"Custodian / Maintenance / Boiler Operator","Judith Gap School","2026-05-05","https://www.judithgap.k12.mt.us/District/Portal/Employment","Judith Gap Schools","LLM-extracted district prose page (SHADOW -- not in dashboard)","2026-09-07"
"School Cook","Judith Gap School",NA,"https://www.judithgap.k12.mt.us/District/Portal/Employment","Judith Gap Schools","LLM-extracted district prose page (SHADOW -- not in dashboard)","2026-09-07"
"School Nurse","Hellgate Elementary School District","2026-05-26","https://www.hellgate.k12.mt.us/our-district/employment","Hellgate Elementary School District","LLM-extracted district prose page (SHADOW -- not in dashboard)","2026-09-07"
"para professionals","Hellgate Elementary School District","2026-05-26","https://www.hellgate.k12.mt.us/our-district/employment","Hellgate Elementary School District","LLM-extracted district prose page (SHADOW -- not in dashboard)","2026-09-07"
"SUBSTITUTE TEACHER","Hellgate Elementary School District",NA,"https://www.hellgate.k12.mt.us/our-district/employment","Hellgate Elementary School District","LLM-extracted district prose page (SHADOW -- not in dashboard)","2026-09-07"
"CUSTODIAL SUBSTITUTES","Hellgate Elementary School District",NA,"https://www.hellgate.k12.mt.us/our-district/employment","Hellgate Elementary School District","LLM-extracted district prose page (SHADOW -- not in dashboard)","2026-09-07"
